IEA fossil fuel subsidies database;;;;;;;;;;;;;;;;
© 2025 IEA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Unit: Real 2024 million USD;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Brunei;Oil;230,0;302,6;327,6;312,8;288,3;178,6;106,5;185,0;229,0;176,6;56,5;162,8;295,0;262,4;250,0
Brunei;Electricity;147,3;123,3;118,5;49,5;25,8;16,9;-;-;24,3;-;-;135,2;577,1;120,6;55,7
Brunei;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brunei;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Brunei;Total;377,3;425,9;446,1;362,3;314,1;195,6;106,5;185,0;253,3;176,6;56,5;298,0;872,1;383,0;305,7
China;Oil;12 883,9;12 388,3;11 992,5;12 656,7;12 616,0;14 831,3;16 853,2;19 364,5;18 365,5;18 193,8;17 743,6;17 813,9;24 955,3;27 700,8;31 264,0
China;Electricity;32 331,7;34 287,1;25 453,7;14 713,6;11 366,3;11 353,8;33 044,6;30 133,8;32 453,3;14 949,6;105,6;24 273,8;51 012,6;21 336,9;18 669,1
China;Gas;-;573,8;1 152,4;2 545,0;3 268,3;-;-;-;1 470,0;-;-;-;20 227,6;-;-
China;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
China;Total;45 215,6;47 249,1;38 598,7;29 915,3;27 250,7;26 185,1;49 897,7;49 498,3;52 288,7;33 143,3;17 849,2;42 087,8;96 195,5;49 037,7;49 933,1
Colombia;Oil;167,7;242,2;54,7;1,7;1,1;991,1;864,3;485,4;755,6;710,1;526,6;1 775,9;9 832,8;818,0;615,3
Colombia;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colombia;Gas;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Colombia;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
