IEA fossil fuel subsidies database;;;;;;;;;;;;;;;;
© 2025 IEA;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Unit: Real 2024 million USD;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Turkmenistan;Gas;6 744,4;5 922,1;5 748,6;5 000,8;3 477,4;4 023,5;2 852,8;3 116,3;3 817,1;2 499,4;2 077,0;5 825,5;14 374,3;3 598,6;5 343,2
Turkmenistan;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Turkmenistan;Total;12 538,4;12 741,0;12 716,1;12 075,2;10 077,0;7 992,8;5 920,4;5 796,7;6 184,8;4 131,6;2 588,7;8 175,2;20 207,2;6 444,5;7 754,5
Ukraine;Oil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ukraine;Electricity;7 684,4;7 019,8;5 268,8;5 327,2;6 761,2;7 849,6;6 359,2;5 018,4;5 726,4;3 421,4;2 987,7;8 552,2;15 462,9;5 387,5;1 899,5
Ukraine;Gas;10 893,2;13 743,4;12 602,7;9 796,9;8 731,2;4 884,3;-;-;1 644,6;-;-;3 110,8;11 838,9;2 286,9;3 599,6
Ukraine;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Ukraine;Total;18 577,6;20 763,2;17 871,4;15 124,1;15 492,4;12 733,9;6 359,2;5 018,4;7 371,1;3 421,4;2 987,7;11 663,0;27 301,8;7 674,5;5 499,1
UAE;Oil;3 011,9;4 635,0;4 813,8;6 642,9;4 703,6;853,7;438,9;565,7;155,9;201,6;215,1;797,3;4 704,1;280,9;561,3
UAE;Electricity;6 291,1;6 378,2;6 264,0;4 265,8;3 505,6;2 336,2;1 609,3;1 651,0;2 973,3;509,5;55,5;5 046,4;12 478,0;5 095,6;4 401,4
UAE;Gas;11 967,2;9 110,8;11 812,5;11 568,4;8 879,3;9 384,0;7 959,3;6 788,9;6 031,3;6 008,7;5 525,9;13 607,9;18 703,2;8 821,9;9 755,7
UAE;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
UAE;Total;21 270,2;20 124,0;22 890,3;22 477,1;17 088,5;12 573,9;10 007,5;9 005,6;9 160,5;6 719,8;5 796,4;19 451,6;35 885,3;14 198,4;14 718,5
Uzbekistan;Oil;18,8;637,0;686,3;549,4;586,6;190,0;221,8;548,6;1 243,6;1 036,2;478,7;876,0;1 857,3;752,9;858,8
Uzbekistan;Electricity;2 544,4;2 551,7;2 288,7;1 829,2;1 281,7;880,8;497,0;1 707,1;3 251,6;1 890,0;1 713,6;4 762,6;6 359,5;3 188,9;2 667,9
Uzbekistan;Gas;11 292,4;9 407,8;7 574,8;7 007,5;5 669,3;3 639,0;2 857,2;4 835,0;7 270,2;4 132,5;3 471,5;13 232,2;14 743,8;7 743,3;7 395,3
Uzbekistan;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Uzbekistan;Total;13 855,6;12 596,5;10 549,8;9 386,1;7 537,6;4 709,9;3 576,0;7 090,8;11 765,4;7 058,7;5 663,7;18 870,8;22 960,5;11 685,2;10 922,0
Venezuela;Oil;-;-;-;-;-;616,7;512,3;1 207,2;2 764,2;6 499,5;1 933,9;2 960,4;6 305,1;4 920,4;2 326,3
Venezuela;Electricity;-;-;-;-;-;1 649,0;1 323,8;2 942,7;4 038,8;3 158,4;3 158,4;5 849,2;8 058,7;5 130,9;4 325,8
Venezuela;Gas;-;-;-;-;-;805,6;536,8;1 066,7;1 856,6;684,9;373,7;1 079,3;3 359,2;3 411,9;870,5
Venezuela;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Venezuela;Total;-;-;-;-;-;3 071,3;2 372,9;5 216,6;8 659,6;10 342,8;5 465,9;9 888,9;17 723,0;13 463,1;7 522,7
Vietnam;Oil;94,7;60,6;15,2;18,3;0,1;-;1,0;-;-;-;-;-;569,8;174,6;124,2
Vietnam;Electricity;3 581,4;4 094,7;4 891,2;1 460,0;855,1;43,9;-;-;292,9;-;-;4 064,4;27 102,3;3 602,0;3 236,1
Vietnam;Gas;253,8;450,5;809,0;461,5;352,4;-;-;-;31,7;-;-;198,0;729,8;83,9;-
Vietnam;Coal;21,2;19,7;9,8;6,3;22,5;42,4;115,8;206,3;329,2;503,5;565,5;756,4;3 964,0;-;-
Vietnam;Total;3 951,1;4 625,4;5 725,2;1 946,1;1 230,1;86,3;116,8;206,3;653,8;503,5;565,5;5 018,8;32 366,0;3 860,5;3 360,3
France;Oil;-;-;-;-;-;-;-;-;-;-;-;-;18,1;-;-
France;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
France;Gas;-;-;-;-;-;-;-;-;-;-;-;-;7 886,7;-;-
France;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
France;Total;-;-;-;-;-;-;-;-;-;-;-;-;7 904,8;-;-
United Kingdom;Oil;-;-;-;-;-;-;-;-;-;-;-;-;125,8;-;-
United Kingdom;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
United Kingdom;Gas;-;-;-;-;-;-;-;-;-;-;-;-;7 008,1;-;-
United Kingdom;Coal;-;-;-;-;-;-;-;-;-;-;-;-;0,8;-;-
United Kingdom;Total;-;-;-;-;-;-;-;-;-;-;-;-;7 134,6;-;-
Austria;Oil;-;-;-;-;-;-;-;-;-;-;-;-;7,3;-;-
Austria;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Austria;Gas;-;-;-;-;-;-;-;-;-;-;-;-;1 466,2;-;-
Austria;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Austria;Total;-;-;-;-;-;-;-;-;-;-;-;-;1 473,5;-;-
Hungary;Oil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Hungary;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;1 712,9;-;-
Hungary;Gas;-;-;-;-;-;-;-;-;-;-;-;-;4 775,7;-;-
Hungary;Coal;-;-;-;-;-;-;-;-;-;-;-;-;1,2;-;-
Hungary;Total;-;-;-;-;-;-;-;-;-;-;-;-;6 489,8;-;-
Poland;Oil;-;-;-;-;-;-;-;-;-;-;-;-;21,4;-;-
Poland;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Poland;Gas;-;-;-;-;-;-;-;-;-;-;-;-;4 485,5;-;-
Poland;Coal;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Poland;Total;-;-;-;-;-;-;-;-;-;-;-;-;4 506,9;-;-
Slovak Republic;Oil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovak Republic;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Slovak Republic;Gas;-;-;-;-;-;-;-;-;-;-;-;-;1 413,3;-;-
Slovak Republic;Coal;-;-;-;-;-;-;-;-;-;-;-;-;20,2;-;-
Slovak Republic;Total;-;-;-;-;-;-;-;-;-;-;-;-;1 433,5;-;-
Croatia;Oil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Croatia;Electricity;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Croatia;Gas;-;-;-;-;-;-;-;-;-;-;-;-;920,5;-;-
Croatia;Coal;-;-;-;-;-;-;-;-;-;-;-;-;1,1;-;-
Croatia;Total;-;-;-;-;-;-;-;-;-;-;-;-;921,6;-;-
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;

