"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SUB_TYPE","FFS","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"IMF.STA:FFS(1.0.2)","ZAF.IM.COA.USQ2021.A","OBS_VALUE","South Africa","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","37.24667033","37.91239267","41.51612528","40.8744586","40.26137926","38.02377371","37.69460232","35.78232711","36.28221263","38.04395593","37.90094193","39.29152105","40.37945662","41.00294584","40.92785969","40.80787087","40.30249577","39.60692957","38.76918777","38.72207275","38.77018229"
"IMF.STA:FFS(1.0.2)","FRA.IM.COA.USQ2021.A","OBS_VALUE","France","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","4.284116347","3.831275796","4.228863105","3.560675552","2.346235362","2.016953172","3.434972111","1.775484398","1.563843569","2.568079821","2.855589957","2.901969964","2.932776858","2.955524842","2.988115565","3.016684198","3.063274869","3.10780635","3.149030936","3.186937444","3.221930581"
"IMF.STA:FFS(1.0.2)","HND.IM.COA.USQ2021.A","OBS_VALUE","Honduras","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.077814894","0.001190646","0.000370268","0","0.004660842","0.004751873","0.005607252","0.339943547","0.34914491","0.33916492","0.346762669","0.333864074","0.318840627","0.312100044","0.310771736","0.317767201","0.322590846","0.32729649","0.332323975","0.337635197","0.343143848"
"IMF.STA:FFS(1.0.2)","TZA.IM.COA.USQ2021.A","OBS_VALUE","Tanzania, United Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.065997588","0.066146969","0.090778446","0.091203431","0.110172517","0.101013575","0.123479921","0.130463773","0.128642804","0.135354329","0.145064456","0.153212178","0.161907105","0.171360364","0.181202865","0.191464014","0.202283577","0.213691263","0.225717375","0.238396993","0.251763322"
"IMF.STA:FFS(1.0.2)","BGD.IM.COA.USQ2021.A","OBS_VALUE","Bangladesh","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","1.77927159","2.492199911","3.511238823","3.483192043","4.198175308","4.568805757","4.567006509","5.393391452","6.059167699","8.137155514","10.74099571","12.78835906","14.47539396","15.92349166","17.23513793","18.71277078","20.30572104","22.037803","23.98222824","26.10731562","28.42406455"
"IMF.STA:FFS(1.0.2)","UGA.IM.COA.USQ2021.A","OBS_VALUE","Uganda","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.014655976","0.015751257","0.017736105","0.017927585","0.019818885","0.024113106","0.028509803","0.030185043","0.03009763","0.03409404","0.038310413","0.040390216","0.042550912","0.045068025","0.04775223","0.050492807","0.053405334","0.056500927","0.059791868","0.063291287","0.067013015"
"IMF.STA:FFS(1.0.2)","ESP.IM.COA.USQ2021.A","OBS_VALUE","Spain","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","5.507600327","4.239606138","5.376573237","4.428457582","2.25461824","1.46709837","1.544672858","1.059958438","1.035305343","2.059730453","2.120534279","2.163997838","2.182820567","2.177744767","2.196974164","2.215655786","2.234070612","2.25533349","2.276204037","2.296208103","2.315089788"
"IMF.STA:FFS(1.0.2)","LCA.IM.COA.USQ2021.A","OBS_VALUE","St. Lucia","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:FFS(1.0.2)","SRB.IM.COA.USQ2021.A","OBS_VALUE","Serbia, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","6.190042307","6.676656603","6.572431375","6.721370367","6.0031812","6.430689151","5.351542139","5.670086504","5.83687036","5.845525632","6.404502612","6.33765808","6.3198723","6.254672695","6.117240692","6.049076614","6.082458529","6.178777832","6.287572645","6.40404739","6.527873586"
"IMF.STA:FFS(1.0.2)","CHE.IM.COA.USQ2021.A","OBS_VALUE","Switzerland","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.072065344","0.060295897","0.050384716","0.048707698","0.041799852","0.042829043","0.041684024","0.009370621","0.011163233","0.029316757","0.031223835","0.032273275","0.033152186","0.03425639","0.035225917","0.036366232","0.037511841","0.038660521","0.039812307","0.040970693","0.042133994"
"IMF.STA:FFS(1.0.2)","MWI.IM.COA.USQ2021.A","OBS_VALUE","Malawi","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.015995434","0.014867925","0.014617701","0.017763691","0.018788577","0.015704321","0.009625884","0.010748317","0.010723487","0.011874256","0.01307786","0.013554156","0.014023466","0.01459578","0.015188028","0.015762492","0.016355226","0.016967012","0.017598683","0.018250982","0.018924684"
"IMF.STA:FFS(1.0.2)","LTU.IM.COA.USQ2021.A","OBS_VALUE","Lithuania, Republic of","Implicit fossil fuel subsidies","Coal","USD at constant 2021 prices","Annual","Units","0.589827264","0.593672539","0.602702793","0.720036828","0.563716014","0.340215263","0.427093065","0.382824264","0.386366896","0.467735083","0.497762806","0.507073701","0.516422679","0.528151508","0.540109447","0.548347734","0.556757715","0.565333568","0.574058804","0.583037684","0.591976332"
